2000
2000
1.2
7
7
1e-16
5000
1 2 3 4 5 6 7 
1 2 3 4 5 6 7 
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 1 1 1 1
0 0 0 0 0 0 0
0 2.79 7.22 10.55 12.77 13.88 13.88
0 2.79 7.22 10.55 12.77 13.88 13.88
0 2.79 7.22 10.55 12.77 13.88 13.88
0 2.79 7.22 10.55 12.77 13.88 13.88
0 2.79 7.22 10.55 12.77 13.88 13.88
0 2.79 7.22 10.55 12.77 13.88 13.88
0 2.79 7.22 10.55 12.77 13.88 13.88
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
-1096 -1096 -1096 -1096 -1096 -1096 -1096
-1096 -1096 -1096 -1096 -1096 -1096 -1096
-1096 -1096 -1096 -1096 -1096 -1096 -1096
-1096 -1096 -1096 -1096 -1096 -1096 -1096
-1096 -1096 -1096 -1096 -1096 -1096 -1096
-1096 -1096 -1096 -1096 -1096 -1096 -1096
-1096 -1096 -1096 -1096 -1096 -1096 -1096




