2000
2000
1
7
7
1e-12
500
1 2 3 4 5 6 7 
1 2 3 4 5 6 7 
1 0 0 0 0 0 0
1 0 0 0 0 0 0
1 1 1 1 1 1 1
0 0 0 0 0 0 0
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
0 2.795639 7.1792 10.46687 12.65865 13.75454 13.75454
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
2920.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89
-1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89 -1095.89

-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05
-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05
-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05
-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05
-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05
-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05
-0E05 -0E05 -0E05 -0E05 -0E05 -0E05 -0E05



1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0

